Key	strain	species-biovar	host	publication	year	panel1	country	ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
bmar004	M2533/93/1	B. pinnipedialis	harbour seal	Maquart2009	1993	71	Scotland	1	2	5	6	12	3	2	5	3	7	21	9	6	4	6	5	3
bmar005	M292/94/1	B. pinnipedialis	harbour seal	Maquart2009	1994	71	Scotland	2	2	5	6	12	3	2	5	3	7	21	9	5	4	6	6	3
bmar007	M972/94/1	B. pinnipedialis	harbour seal	Maquart2009	1994	25	Scotland	3	3	5	6	13	3	2	5	4	7	21	9	7	5	5	3	3
bmar008	M1771/94/1	B. pinnipedialis	otter	Maquart2009	1994	25	Scotland	4	3	5	6	13	3	2	5	4	7	21	9	5	5	6	3	3
bmar010	M514/96/4	B. pinnipedialis	harbour seal	Maquart2009	1996	25	Scotland	5	3	5	6	13	3	2	5	4	7	21	9	6	5	5	3	3
bmar013	M1661/94/2	B. ceti	porpoise	Maquart2009	1994	23	Scotland	6	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	5
bmar015	M181/97/1	B. ceti	AWSD	Maquart2009	1997	23	Scotland	7	2	5	8	7	3	2	5	1	4	22	9	7	5	3	5	5
bmar016	M870/97/1	B. ceti	white-beaked dolphin	Maquart2009	1997	23	Scotland	8	2	5	8	7	3	2	5	1	4	22	9	7	5	3	7	5
bmar021	8105	B. pinnipedialis	harbour seal	Maquart2009	1998	25	Germany	9	3	5	6	13	3	2	5	4	7	21	9	5	5	7	3	3
bmar027	8150	B. pinnipedialis	harbour seal	Maquart2009	1998	25	Germany	10	3	5	6	13	3	2	5	4	7	21	9	5	5	4	3	3
bmar028	8169	B. pinnipedialis	harbour seal	Maquart2009	1998	73	Germany	11	3	5	3	13	3	2	5	4	7	21	9	5	4	3	3	3
bmar029	8151	B. pinnipedialis	gray seal	Maquart2009	1998	71	Germany	12	2	5	6	12	3	2	5	3	7	21	9	6	4	5	5	3
bmar033	8155	B. pinnipedialis	harbour seal	Maquart2009	1999	25	Germany	13	3	5	6	13	3	2	5	4	7	21	9	5	4	5	3	3
bmar035	8170	B. pinnipedialis	harbour seal	Maquart2009	2000	25	Germany	14	3	5	6	13	3	2	5	4	7	21	9	5	4	5	4	3
bmar037	8172	B. pinnipedialis	harbour seal	Maquart2009	2000	25	Germany	15	3	5	6	13	3	2	5	4	7	21	9	5	4	6	3	3
