ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
1	2	5	6	12	3	2	5	3	7	21	9	6	4	6	5	3
2	2	5	6	12	3	2	5	3	7	21	9	5	4	6	6	3
3	3	5	6	13	3	2	5	4	7	21	9	7	5	5	3	3
4	3	5	6	13	3	2	5	4	7	21	9	5	5	6	3	3
5	3	5	6	13	3	2	5	4	7	21	9	6	5	5	3	3
6	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	5
7	2	5	8	7	3	2	5	1	4	22	9	7	5	3	5	5
8	2	5	8	7	3	2	5	1	4	22	9	7	5	3	7	5
9	3	5	6	13	3	2	5	4	7	21	9	5	5	7	3	3
10	3	5	6	13	3	2	5	4	7	21	9	5	5	4	3	3
11	3	5	3	13	3	2	5	4	7	21	9	5	4	3	3	3
12	2	5	6	12	3	2	5	3	7	21	9	6	4	5	5	3
13	3	5	6	13	3	2	5	4	7	21	9	5	4	5	3	3
14	3	5	6	13	3	2	5	4	7	21	9	5	4	5	4	3
15	3	5	6	13	3	2	5	4	7	21	9	5	4	6	3	3
16	3	5	6	13	3	2	5	4	7	21	9	5	4	7	3	3
17	3	5	6	13	3	2	5	4	7	21	9	5	5	7	4	3
18	3	5	6	13	3	2	5	4	7	21	9	5	6	6	3	3
19	3	5	6	13	3	2	5	4	7	21	9	5	6	7	3	3
20	3	5	6	13	3	2	5	4	7	21	9	5	5	9	3	3
21	3	5	6	13	3	2	5	4	7	21	9	5	6	4	3	3
22	3	5	6	13	3	2	5	4	7	21	9	5	6	8	3	3
23	3	5	6	13	3	2	5	4	7	21	9	5	5	8	3	3
24	3	5	6	13	3	2	5	4	7	21	9	6	5	6	3	3
25	3	5	6	13	3	2	5	4	7	21	9	2	5	5	3	3
26	2	5	8	7	3	2	5	1	4	22	9	5	6	3	7	5
27	3	5	6	13	3	2	5	2	7	21	9	4	5	6	3	3
28	2	5	8	7	3	2	5	1	4	22	9	5	6	3	7	4
29	3	5	6	13	3	2	5	4	7	21	9	6	6	5	3	3
30	2	5	8	7	2	2	5	1	4	22	9	7	4	3	7	6
31	3	5	15	12	3	2	5	7	7	22	9	4	4	6	6	6
32	2	5	8	7	3	2	5	1	4	22	9	7	8	3	5	6
33	2	5	8	7	3	2	5	1	4	22	9	4	6	3	6	5
34	2	5	8	13	2	2	4	2	6	6	9	8	6	8	8	3
35	2	5	8	7	3	2	5	1	4	22	9	4	6	5	5	4
36	2	5	8	7	3	2	5	1	4	22	9	6	5	3	5	5
37	2	5	8	7	3	2	5	1	4	22	9	5	6	3	8	6
38	2	5	8	7	3	2	5	1	4	22	9	4	8	3	5	4
39	2	5	8	7	3	2	5	1	4	22	9	4	4	3	5	5
40	2	5	8	13	2	2	4	2	6	6	9	9	5	8	15	3
41	2	5	8	7	3	2	5	1	4	22	9	8	6	3	4	5
42	2	5	8	7	3	2	5	1	4	22	9	6	5	3	7	4
43	2	5	8	7	3	2	5	1	4	22	9	4	6	3	7	4
44	2	5	8	13	1	2	4	2	6	6	9	12	8	7	12	3
45	3	5	6	13	3	2	5	4	7	22	9	6	6	4	3	3
47	2	5	8	7	3	2	5	1	4	22	9	6	7	3	7	4
48	2	5	8	7	3	2	5	1	4	22	9	6	6	3	6	4
49	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	6
50	2	5	6	12	3	2	5	3	7	21	9	5	5	7	5	3
51	3	5	6	13	3	2	5	4	6	21	9	5	5	5	3	3
52	2	5	8	7	3	2	5	1	4	22	9	6	5	3	9	5
53	2	5	8	13	2	2	4	2	6	6	9	8	7	8	14	3
54	2	5	6	12	3	2	5	3	7	21	9	6	4	7	5	3
55	2	5	8	7	3	2	5	1	4	22	9	7	5	3	4	5
