FILE	T308_05745	T308_01980	pbp1A	pepN	spr1868	MYY_1559	SPNOXC_18220	SPCG_0300	folC	SP_0994	T308_07955	proS	SP_1378	glmU	pfkA	SPH_0698	gltX	SPP_1577	SPH_2221	SPH_0011	mraW	ABC-MSP	SPNINV200_04030	SPN23F_03890	groEL	fmt	SPN23F_06830	SP_0801	SP_1369	lysA	spr0747	SPH_2425	SPG_0791	hrcA	mutM	sulD	recF	MYY_0732	deoB	rseP	T308_09660	SPAP_0959	dapA	SPCG_0009	SPNOXC_10430	SPH_1568	SPNINV200_01840	sufB	SP70585_1946	recX	SPH_1677	proC	engC	dnaB	SPH_0901	SPCG_0004	glcK	trxB	T308_07675	SPNINV200_19970	HMPREF1038_01932	SPG_1501	SPCG_1853	deoC	SPCG_1945	SPCG_1937	pgk	ftsZ	SPN23F_19960	SP_1388	SP_1893	nagA	coaE	SPNA45_02072	INV104_10950	SPN23F_14690	dapB	SPCG_1000	spr1655	SPNOXC_13960	cpoA	thyA	rnz	SP670_2364	nadD	exoA	SPH_0308	accC	era	MYY_0831	SPCG_0199	SPT_0815	SPN23F_14860	SPN034156_10190	trsA	lgt	carA	adk	ulaD	pstS	SP_0204	recU	spr1158	T308_01440	SPNA45_00786	rpe2	spr0664	dnaQ	spr1400	SPAP_1556	amiF	rnc	INV104_16000	T308_05720	gla	HMPREF1038_01632	SPCG_0812	nagB	frr	T308_00050	fabG	HMPREF0837_11925	eutD	nrdF	SP70585_1168	pstB2	SP70585_0662	rpoA	SPCG_1623	T308_02840	spr2028	pstB3	deoR	SPN034156_04020	SPCG_1487	ctsR	secY	HMPREF1038_01954	SPJ_1559	HMPREF1038_01728	spr0488	nrdG	T308_10820	T308_10680	codY	SPNOXC_15600	nifU	thiW	gapA	upp	T308_08170	SPH_1611	rplB	hpt	SP670_0262	HMPREF1038_00527	SPNINV200_13110	HMPREF1038_00979	T308_05785	spr0026	T308_06415	SP_1580	ftsE	pgsA	SPAP_0270	pyrH	SP670_2107	psaC	gpmA	SPJ_0703	T308_03580	fabZ	clpP	SP670_1952	SP670_1938	dut	MYY_0778	rplC	T308_03475	HMPREF0837_10669	T308_08525	T308_08805	rplI	ciaR	MYY_1563	SPCG_0966	T308_06605	rnpA	lspA	SPP_1560	SPCG_0306	ftsL	T308_04825	T308_10715	rplU	SPNA45_00008	rpsI	SPP_1430	spr1316	SPP_1761	accB	rpsH	MYY_0416	T308_01970	rpsM	SPH_1429	spr0980	rpsE	rpsG	T308_04655	SPH_0772	spxA	rplX	rpsJ	SPNA45_01833	rplN	T308_05750	rplT	SPAP_0276	SP670_2349	SPNOXC_15380	rpsR	rpsL	rplW	infA	SPCG_1446	asp23	pyrR	T308_01120	rpsO	rplP	rpsQ	T308_03960	T308_01145	rpsS	rpmC	rpmI
NC_014498.fna	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	1	2	1	2	1	2	1	2	2	1	1	2	2	1	1	2	1	2	1	2	1	2	2	2	1	2	2	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_012468.fna	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	3	2	3	3	3	2	3	3	3	2	3	3	3	3	3	2	2	1	3	3	2	3	3	2	1	3	3	1	2	3	3	2	3	1	3	3	3	3	1	2	3	3	3	1	3	2	3	3	3	3	3	3	2	2	2	3	3	3	2	3	1	2	3	3	3	2	3	2	2	3	3	3	2	3	2	3	2	3	2	3	3	3	1	3	3	3	3	2	2	3	3	3	2	3	1	3	2	2	3	3	3	3	3	3	3	2	3	1	2	1	2	1	1	2	3	2	1	3	3	2	2	2	2	2	2	3	2	2	2	2	3	2	2	3	3	2	2	1	1	1	2	2	2	1	2	3	2	3	1	1	3	2	2	1	2	1	2	1	1	1	2	2	1	1	2	1	3	1	2	1	2	2	3	2	2	3	1	2	1	2	2	1	1	1	2	1	2	3	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_022655.fna	1	1	4	3	4	2	4	4	4	2	1	3	4	4	4	4	3	4	4	2	3	3	2	4	2	3	4	4	4	4	3	2	3	4	4	3	4	2	2	1	1	3	3	3	4	4	2	4	3	2	4	2	4	1	2	2	4	2	1	3	3	4	2	2	4	4	2	2	1	2	3	3	4	2	2	1	3	4	4	2	2	3	2	2	3	3	3	2	3	2	2	3	4	2	3	4	3	2	3	3	4	4	3	1	4	4	4	3	3	1	3	3	1	1	3	3	2	2	2	3	3	3	3	3	1	2	3	1	2	1	2	3	4	4	2	3	2	3	3	2	2	3	1	1	2	2	3	3	2	2	2	3	1	1	1	2	2	2	1	2	1	2	3	3	1	2	2	2	2	2	1	3	2	2	2	2	2	1	1	3	1	1	1	2	2	2	1	3	3	3	2	2	1	1	2	2	2	2	1	2	2	2	4	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_014494.fna	4	4	5	4	5	2	5	5	2	2	4	4	5	5	5	5	4	4	5	1	4	3	2	5	2	4	5	5	5	5	3	2	4	5	5	4	5	4	3	1	4	1	4	4	3	5	2	3	4	4	5	3	3	1	2	4	3	4	1	2	2	2	4	4	3	5	2	3	3	2	3	3	5	3	4	1	4	4	5	2	3	3	3	2	2	2	2	2	3	2	2	2	5	2	3	5	3	3	4	4	3	3	1	3	4	3	5	4	4	1	4	4	2	4	4	3	2	3	2	3	2	3	2	2	1	2	2	1	3	2	2	2	3	5	2	2	2	2	3	2	4	4	2	3	2	2	4	2	3	2	2	4	1	1	1	3	2	2	2	2	4	2	1	2	1	2	2	2	1	2	2	3	2	3	3	3	2	1	1	2	1	4	1	2	1	2	2	3	1	2	2	1	1	1	3	2	1	1	1	2	1	2	3	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	3	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_011900.fna	5	5	6	5	4	3	2	6	4	3	5	5	4	6	2	6	5	5	3	4	5	3	1	1	2	5	1	2	6	2	3	1	3	6	6	5	3	5	2	2	4	3	5	5	3	5	2	1	5	5	6	2	3	1	2	2	2	5	2	3	4	5	2	4	5	4	2	4	1	3	3	3	6	2	3	1	3	4	2	3	2	4	4	2	4	2	3	2	2	2	4	1	1	2	3	6	3	2	3	3	3	5	4	4	5	5	6	5	5	1	3	5	1	2	5	3	4	2	2	3	1	1	2	1	1	2	2	1	2	3	2	2	4	4	2	4	2	3	2	2	2	2	3	1	2	2	2	4	2	2	2	2	1	2	1	2	2	2	1	2	5	2	3	2	1	2	2	2	2	2	2	2	2	3	4	2	2	1	1	4	2	5	1	3	1	2	2	3	3	2	2	1	1	1	2	2	2	1	1	2	2	2	2	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	1	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_010582.fna	6	6	6	6	4	4	6	7	5	2	6	6	6	7	1	7	6	4	3	5	5	3	1	4	1	4	1	6	7	1	2	2	5	4	7	1	1	6	4	1	4	3	6	2	4	4	1	3	6	6	3	1	1	1	2	2	2	6	1	4	3	5	2	5	6	2	2	4	2	2	3	3	7	2	2	2	5	5	6	3	3	1	2	2	4	2	3	2	3	2	5	2	4	2	4	5	3	4	3	3	5	5	5	3	5	3	1	6	2	1	3	2	3	2	3	3	4	4	4	4	1	3	2	2	1	2	3	1	2	3	2	4	5	2	2	4	2	2	2	2	5	2	4	1	2	2	2	4	3	3	2	5	1	2	2	2	1	3	3	2	3	2	3	4	1	4	2	2	2	2	1	4	2	1	1	2	2	1	1	4	1	6	1	2	1	1	3	3	3	2	2	1	1	1	2	2	1	1	1	2	2	2	2	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	3	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_008533.fna	7	7	7	2	1	5	7	8	6	4	7	7	7	6	6	8	2	6	6	6	6	4	4	4	2	4	1	7	2	6	4	2	3	6	3	6	4	7	5	1	5	4	7	2	4	5	2	3	6	2	7	4	3	1	2	2	2	1	3	3	2	6	5	6	3	6	4	4	4	2	3	3	5	2	2	1	3	3	2	2	3	3	4	3	4	1	4	3	3	2	2	2	6	2	3	5	1	2	3	3	3	3	1	5	4	3	1	2	6	1	4	4	4	2	6	3	3	3	5	3	1	3	2	2	1	3	4	1	2	3	2	2	4	2	2	5	2	2	2	3	1	4	5	1	1	2	5	3	2	2	3	2	1	2	1	2	3	2	1	2	6	2	3	2	1	2	2	2	1	2	2	3	2	3	4	2	2	1	1	2	1	2	1	2	1	2	2	3	3	2	2	1	1	1	2	2	1	1	1	2	2	2	3	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_018630.fna	9	9	9	2	6	7	9	9	7	5	9	4	8	8	2	9	7	1	7	7	7	3	2	4	2	7	6	8	8	2	2	2	1	8	9	7	4	9	2	3	6	3	9	7	5	6	2	3	6	8	8	6	6	1	2	2	5	1	1	3	1	7	7	7	8	7	2	2	3	2	3	3	5	2	6	1	1	7	8	2	4	3	1	3	3	4	5	2	3	2	3	1	3	2	3	7	3	2	3	5	3	6	3	3	4	2	5	4	3	1	3	2	2	2	3	3	2	5	6	3	1	3	2	2	1	2	6	1	2	4	2	2	3	4	2	4	2	3	2	2	6	6	2	1	2	2	2	4	3	2	2	6	1	1	1	2	2	4	1	2	3	2	3	2	1	2	2	2	2	2	2	2	3	3	1	2	2	1	1	2	2	7	1	2	1	2	2	3	1	2	2	1	1	1	3	2	1	1	1	2	2	1	3	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
NC_010380.fna	10	10	10	2	7	2	10	10	7	6	10	4	4	5	3	1	8	8	1	1	8	2	1	6	1	3	7	3	9	7	2	1	1	4	1	8	2	4	7	1	7	3	8	2	6	1	2	3	2	9	1	7	5	1	1	2	6	7	4	3	3	8	3	8	7	8	2	1	5	4	3	3	3	2	2	1	2	4	9	4	5	3	2	4	4	5	1	2	2	2	7	2	7	2	3	5	3	2	1	3	4	1	5	3	3	6	5	2	7	1	2	5	2	2	3	3	2	2	2	3	1	4	2	2	1	2	3	1	4	3	4	1	4	4	2	4	1	2	4	2	7	7	2	1	2	4	4	2	2	2	2	1	1	1	1	2	2	3	1	2	7	2	1	2	1	2	2	2	1	2	1	2	2	3	4	2	2	1	1	5	2	7	1	2	1	2	2	1	3	2	2	2	1	1	2	2	1	1	1	2	2	2	3	2	1	1	2	1	1	2	1	1	1	2	2	1	1	1	3	1	1	2	3	1	2	2	2	1	1	1	1	1	2	1	1	1	1
NC_017591.fna	11	11	11	1	6	8	9	11	8	2	11	8	9	5	2	10	3	9	7	8	9	3	1	4	2	8	3	5	10	5	5	2	6	9	10	9	2	10	8	1	8	3	1	2	4	4	2	3	6	10	2	8	6	1	2	6	7	1	1	6	5	9	7	7	9	3	2	4	3	2	3	3	8	2	1	1	7	4	8	3	3	6	2	2	4	2	2	2	4	2	8	4	3	2	3	5	3	2	3	3	2	7	6	2	6	7	7	4	3	1	3	5	1	5	3	3	5	2	6	2	1	3	2	2	1	2	3	1	2	2	2	3	5	3	2	2	2	2	2	2	2	1	6	1	2	2	2	5	2	5	2	3	1	2	1	2	2	2	4	2	6	2	3	4	1	2	2	2	1	2	2	2	2	3	5	2	2	1	1	2	2	7	1	2	3	2	2	3	4	2	2	1	1	2	3	2	2	1	1	2	1	2	3	2	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1
