FILE	ST	CC	serotype
NC_003028.fna	205	34	4
NC_003098.fna	595	378	2
NC_008533.fna	595	378	2
NC_010380.fna	268	0	19A
NC_010582.fna	15	3	14
NC_011072.fna	-	null	19F
NC_011900.fna	81	1	23F
NC_012466.fna	66	1	14
NC_012467.fna	303	15	1
NC_012468.fna	289	25	5
NC_012469.fna	236	2	19F
NC_014251.fna	320	2	19A
NC_014494.fna	62	9	11A
NC_014498.fna	90	0	6B
NC_017591.fna	227	18	1
NC_017592.fna	180	12	3
NC_017593.fna	9	3	14
NC_017769.fna	1392	2	19F
NC_018594.fna	6934	1873	3
NC_018630.fna	618	15	1
NC_021003.fna	306	18	1
NC_021004.fna	306	18	1
NC_021005.fna	180	12	3
NC_021006.fna	180	12	3
NC_021026.fna	180	12	3
NC_021028.fna	180	12	3
NC_022655.fna	271	2	19F
10.spades_contigs.fasta	180	12	3
10.velvet_contigs.fasta	180	12	3
11.spades_contigs.fasta	1220	82	3
11.velvet_contigs.fasta	1220	82	3
12.spades_contigs.fasta	458	44	3
12.velvet_contigs.fasta	458	44	3
13.spades_contigs.fasta	180	12	3
13.velvet_contigs.fasta	180	12	3
15.spades_contigs.fasta	458	44	3
15.velvet_contigs.fasta	458	44	3
16.spades_contigs.fasta	232	45	3
16.velvet_contigs.fasta	232	45	3
18.spades_contigs.fasta	260	82	3
18.velvet_contigs.fasta	260	82	3
1.spades_contigs.fasta	1230	12	3
1.velvet_contigs.fasta	1230	12	3
20.spades_contigs.fasta	-	null	3
20.velvet_contigs.fasta	180	12	3
21.spades_contigs.fasta	458	44	3
21.velvet_contigs.fasta	458	44	3
25.spades_contigs.fasta	260	82	3
25.velvet_contigs.fasta	260	82	3
31.spades_contigs.fasta	2407	12	3
31.velvet_contigs.fasta	2407	12	3
33.spades_contigs.fasta	1230	12	3
33.velvet_contigs.fasta	1230	12	3
34.spades_contigs.fasta	232	45	3
34.velvet_contigs.fasta	232	45	3
37.spades_contigs.fasta	1377	45	3
37.velvet_contigs.fasta	1377	45	3
39.spades_contigs.fasta	458	44	3
39.velvet_contigs.fasta	458	44	3
42.spades_contigs.fasta	6014	45	3
42.velvet_contigs.fasta	6014	45	3
44.spades_contigs.fasta	180	12	3
44.velvet_contigs.fasta	180	12	3
46.spades_contigs.fasta	505	12	3
46.velvet_contigs.fasta	505	12	3
47.spades_contigs.fasta	260	82	3
47.velvet_contigs.fasta	260	82	3
49.spades_contigs.fasta	1230	12	3
49.velvet_contigs.fasta	1230	12	3
4.spades_contigs.fasta	232	45	3
4.velvet_contigs.fasta	232	45	3
6.spades_contigs.fasta	1230	12	3
6.velvet_contigs.fasta	1230	12	3
8.spades_contigs.fasta	458	44	3
8.velvet_contigs.fasta	458	44	3
9.spades_contigs.fasta	260	82	3
9.velvet_contigs.fasta	260	82	3
14.spades_contigs.fasta	350	18	1
14.velvet_contigs.fasta	350	18	1
17.spades_contigs.fasta	304	18	1
17.velvet_contigs.fasta	304	18	1
19.spades_contigs.fasta	306	18	1
19.velvet_contigs.fasta	306	18	1
22.spades_contigs.fasta	304	18	1
22.velvet_contigs.fasta	304	18	1
23.spades_contigs.fasta	306	18	1
23.velvet_contigs.fasta	306	18	1
24.spades_contigs.fasta	304	18	1
24.velvet_contigs.fasta	304	18	1
26.spades_contigs.fasta	227	18	1
26.velvet_contigs.fasta	227	18	1
27.spades_contigs.fasta	306	18	1
27.velvet_contigs.fasta	306	18	1
28.spades_contigs.fasta	4579	18	1
28.velvet_contigs.fasta	4579	18	1
29.spades_contigs.fasta	306	18	1
29.velvet_contigs.fasta	306	18	1
30.spades_contigs.fasta	304	18	1
30.velvet_contigs.fasta	304	18	1
32.spades_contigs.fasta	304	18	1
32.velvet_contigs.fasta	304	18	1
35.spades_contigs.fasta	306	18	1
35.velvet_contigs.fasta	306	18	1
36.spades_contigs.fasta	228	18	1
36.velvet_contigs.fasta	228	18	1
38.spades_contigs.fasta	306	18	1
38.velvet_contigs.fasta	306	18	1
3.spades_contigs.fasta	304	18	1
3.velvet_contigs.fasta	304	18	1
40.spades_contigs.fasta	306	18	1
40.velvet_contigs.fasta	306	18	1
41.spades_contigs.fasta	350	18	1
41.velvet_contigs.fasta	350	18	1
43.spades_contigs.fasta	306	18	1
43.velvet_contigs.fasta	306	18	1
45.spades_contigs.fasta	306	18	1
45.velvet_contigs.fasta	306	18	1
48.spades_contigs.fasta	4254	18	1
48.velvet_contigs.fasta	4254	18	1
50.spades_contigs.fasta	306	18	1
50.velvet_contigs.fasta	306	18	1
5.spades_contigs.fasta	306	18	1
5.velvet_contigs.fasta	306	18	1
7.spades_contigs.fasta	304	18	1
7.velvet_contigs.fasta	304	18	1
ERR025280.fa	180	-	3
ERR025281.fa	505	-	3
ERR025282.fa	180	-	3
ERR025283.fa	180	-	3
